chip_id,date_folder,stage,replicate,condition_label,concentration_uM,temperature,Relative_time,Resonance_Frequency,is_error_file,source_file
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,0.0,9975955.86,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,0.63,9975955.87,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,1.25,9975955.82,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,1.88,9975955.82,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,2.49,9975955.77,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,3.1,9975955.77,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,3.91,9975955.78,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,4.52,9975955.78,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,5.13,9975955.78,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,5.74,9975955.79,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,6.34,9975955.79,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,7.17,9975955.8,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,7.78,9975955.8,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,8.4,9975955.81,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,9.0,9975955.81,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,9.62,9975955.84,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,10.22,9975955.81,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,11.03,9975955.8,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,11.67,9975955.79,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,12.28,9975955.8,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,12.89,9975955.75,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,13.5,9975955.73,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,14.13,9975955.73,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,14.94,9975955.74,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,15.55,9975955.74,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,16.17,9975955.71,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,16.78,9975955.7,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,17.39,9975955.68,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,18.0,9975955.66,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,18.83,9975955.66,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,19.45,9975955.64,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,20.08,9975955.64,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,20.7,9975955.64,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,21.32,9975955.62,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,21.92,9975955.62,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,22.53,9975955.6,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,23.34,9975955.58,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,23.95,9975955.56,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,24.58,9975955.55,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,25.2,9975955.53,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,25.82,9975955.54,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,26.42,9975955.52,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,27.25,9975955.5,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,27.88,9975955.46,False,No.1_0uM_probe.csv
14Mar_No.1,14 Mar 2026,probe,1,0 uM,0,RT,28.49,9975955.44,False,No.1_0uM_probe.csv
